date,close,open,high,low,volume,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas
2024-04-01,24850,25000,25550,24250,219824,5485928650,0,0.0,N,2,250,
2024-04-02,24400,24750,24850,23900,138659,3362296250,0,0.0,N,5,-450,
2024-04-03,24350,24900,25000,24150,135897,3329828950,0,0.0,N,5,-50,
2024-04-04,24450,24150,24500,23550,119861,2891382250,0,0.0,N,2,100,
2024-04-05,24900,24100,25150,24050,144071,3576684800,0,0.0,N,2,450,
2024-04-08,23800,24800,24800,23650,107817,2593727550,0,0.0,N,5,-1100,
2024-04-09,26650,22950,28050,22850,1402861,36848205850,0,0.0,N,2,2850,
2024-04-11,25350,26250,26300,24250,455231,11354356900,0,0.0,N,5,-1300,
2024-04-12,24500,25350,25600,24450,157767,3914599500,0,0.0,N,5,-850,
2024-04-15,24150,24100,24450,23250,223262,5294997250,0,0.0,N,5,-350,
2024-04-16,23350,23850,24150,23350,77572,1833694000,0,0.0,N,5,-800,
2024-04-17,23050,23650,24050,22900,87778,2048619250,0,0.0,N,5,-300,
2024-04-18,23950,23150,24050,23150,80079,1903103300,0,0.0,N,2,900,
2024-04-19,23500,23700,23800,22850,94002,2184316200,0,0.0,N,5,-450,
2024-04-22,23800,23550,23950,23200,45933,1086674150,0,0.0,N,2,300,
2024-04-23,24300,24750,25350,23800,336699,8255704100,0,0.0,N,2,500,
2024-04-24,23400,24350,24450,23100,231197,5473749000,0,0.0,N,5,-900,
2024-04-25,23250,23450,23950,23050,108381,2551525900,0,0.0,N,5,-150,
2024-04-26,23200,23150,23350,22900,86582,1998279400,0,0.0,N,5,-50,
2024-04-29,24150,23200,24250,22950,124924,2974693200,0,0.0,N,2,950,
2024-04-30,23950,24200,24350,23850,59508,1431050250,0,0.0,N,5,-200,
2024-05-02,24000,24050,24450,23750,74189,1786504600,0,0.0,N,2,50,
2024-05-03,23800,24150,24650,23800,106632,2582028150,0,0.0,N,5,-200,
2024-05-07,24500,24200,24550,23700,102448,2486341950,0,0.0,N,2,700,
2024-05-08,25200,24700,25250,24550,184456,4597188100,0,0.0,N,2,700,
2024-05-09,26000,25300,26300,25050,239112,6134608400,0,0.0,N,2,800,
2024-05-10,26150,26300,26300,25500,170798,4408660600,0,0.0,N,2,150,
2024-05-13,26400,26400,26950,26000,187427,4953817100,0,0.0,N,2,250,
2024-05-14,25650,26350,26350,25450,118499,3044745200,0,0.0,N,5,-750,
2024-05-16,25950,25950,27150,25750,201432,5318860700,0,0.0,N,2,300,
2024-05-17,26700,26100,27350,25400,243558,6430520650,0,0.0,N,2,750,
2024-05-20,25850,27050,27350,25700,192091,5109343350,0,0.0,N,5,-850,
2024-05-21,24400,26150,26150,24300,196926,4907750250,0,0.0,N,5,-1450,
2024-05-22,24350,24700,25250,24100,217136,5345456050,0,0.0,N,5,-50,
2024-05-23,31650,26600,31650,26500,2749922,82686773300,0,0.0,N,1,7300,
2024-05-24,35000,33450,39000,32500,9970942,354535348350,0,0.0,N,2,3350,
2024-05-27,36450,37900,41450,36200,4951719,192842143350,0,0.0,N,2,1450,
2024-05-28,37000,37350,37750,35500,1226339,44916959350,0,0.0,N,2,550,
2024-05-29,36150,36600,37350,35550,809210,29344560700,0,0.0,N,5,-850,
2024-05-30,35450,35000,35750,33850,742749,25869823550,0,0.0,N,5,-700,
2024-05-31,35650,35250,36350,34450,712977,25401220400,0,0.0,N,2,200,
2024-06-03,33550,35900,36200,32900,632879,21437307550,0,0.0,N,5,-2100,
2024-06-04,32000,33050,33350,31650,576488,18486812250,0,0.0,N,5,-1550,
2024-06-05,30700,31550,31900,30400,403647,12495340000,0,0.0,N,5,-1300,
2024-06-07,29050,30700,30700,28750,596878,17517057650,0,0.0,N,5,-1650,
2024-06-10,29200,28750,29250,28200,383336,11051394550,0,0.0,N,2,150,
2024-06-11,30200,29800,30800,29100,759960,22774292600,0,0.0,N,2,1000,
2024-06-12,29800,30500,31150,29300,523032,15758235500,0,0.0,N,5,-400,
2024-06-13,29100,29850,30050,29050,252907,7421824250,0,0.0,N,5,-700,
2024-06-14,28050,29000,29000,27900,242670,6854799550,0,0.0,N,5,-1050,
2024-06-17,27400,28050,28450,27350,143994,3992598800,0,0.0,N,5,-650,
2024-06-18,27650,27150,27700,26800,188448,5142875300,0,0.0,N,2,250,
2024-06-19,27800,27650,27950,27400,135043,3744729700,0,0.0,N,2,150,
2024-06-20,27600,27800,28450,27250,183352,5132799100,0,0.0,N,5,-200,
2024-06-21,28550,27950,28950,27400,335366,9557410500,0,0.0,N,2,950,
2024-06-24,27900,28450,29150,27750,194160,5516325350,0,0.0,N,5,-650,
2024-06-25,27850,27700,28200,27100,141230,3871816200,0,0.0,N,5,-50,
2024-06-26,26500,27650,27850,26450,177277,4742991050,0,0.0,N,5,-1350,
2024-06-27,27000,26600,27200,26300,90464,2421284600,0,0.0,N,2,500,
2024-06-28,26550,27300,27300,26450,86921,2318067000,0,0.0,N,5,-450,
2024-07-01,25750,26050,26300,25450,157601,4050607500,0,0.0,N,5,-800,
2024-07-02,25900,25600,26300,24900,200314,5135793750,0,0.0,N,2,150,
2024-07-03,26650,25550,28100,24850,534641,14326029650,0,0.0,N,2,750,
2024-07-04,26150,26750,27500,26150,171756,4599017400,0,0.0,N,5,-500,
2024-07-05,25700,26500,26700,25550,84700,2210946750,0,0.0,N,5,-450,
2024-07-08,25750,25500,26150,25400,80988,2084653800,0,0.0,N,2,50,
2024-07-09,26400,26000,26600,26000,78013,2056367150,0,0.0,N,2,650,
2024-07-10,26350,26500,26550,26050,63909,1682924200,0,0.0,N,5,-50,
2024-07-11,26250,26550,26700,26200,61734,1632669900,0,0.0,N,5,-100,
2024-07-12,26650,27550,27900,26300,188281,5094943250,0,0.0,N,2,400,
2024-07-15,26550,26100,26550,25800,75643,1983835800,0,0.0,N,5,-100,
2024-07-16,25000,26350,26350,24750,176911,4480181900,0,0.0,N,5,-1550,
2024-07-17,25000,25200,25650,25000,63580,1605639050,0,0.0,N,3,0,
2024-07-18,24650,24700,24850,24000,89958,2190844700,0,0.0,N,5,-350,
2024-07-19,25550,24500,25650,24450,73522,1846231500,0,0.0,N,2,900,
2024-07-22,24150,25900,26000,24150,94582,2335463000,0,0.0,N,5,-1400,
2024-07-23,24450,24200,24700,23900,67146,1629964450,0,0.0,N,2,300,
2024-07-24,25100,24700,26300,24700,228076,5825327500,0,0.0,N,2,650,
2024-07-25,24850,26000,26450,24350,215053,5400268300,0,0.0,N,5,-250,
2024-07-26,24250,24700,24850,24100,90070,2191798300,0,0.0,N,5,-600,
2024-07-29,24500,24300,24700,24050,63497,1549796300,0,0.0,N,2,250,
2024-07-30,24050,24150,24450,23900,64351,1550359950,0,0.0,N,5,-450,
2024-07-31,23950,23950,24150,23200,111892,2627469250,0,0.0,N,5,-100,
2024-08-01,25450,24200,25750,24100,169126,4234115400,0,0.0,N,2,1500,
2024-08-02,24350,24900,25600,24200,115745,2872244750,0,0.0,N,5,-1100,
2024-08-05,20450,23800,23850,19600,289541,6246617290,0,0.0,N,5,-3900,
2024-08-06,21200,20450,21900,20450,123723,2642082200,0,0.0,N,2,750,
2024-08-07,22100,21200,22450,21200,74254,1630173950,0,0.0,N,2,900,
2024-08-08,22250,22100,22500,21700,56761,1255050500,0,0.0,N,2,150,
2024-08-09,23150,22700,23450,22600,80110,1841459350,0,0.0,N,2,900,
2024-08-12,25200,23200,25650,23200,311964,7715769150,0,0.0,N,2,2050,
2024-08-13,24500,25200,25400,24100,119126,2935974200,0,0.0,N,5,-700,
2024-08-14,31850,25900,31850,25500,4090840,121951366350,0,0.0,N,1,7350,
2024-08-16,30550,32650,32700,30450,1525938,47984218100,0,0.0,N,5,-1300,
2024-08-19,29500,30300,30750,29400,700944,21053980050,0,0.0,N,5,-1050,
2024-08-20,30400,30000,30600,28800,929012,27758044250,0,0.0,N,2,900,
2024-08-21,28250,29500,29650,27550,703978,19975066750,0,0.0,N,5,-2150,
2024-08-22,28250,27900,28300,27500,298868,8343952350,0,0.0,N,3,0,
2024-08-23,27400,27500,27800,26200,405128,10965927800,0,0.0,N,5,-850,
2024-08-26,27550,27900,29600,27400,793007,22588277800,0,0.0,N,2,150,
2024-08-27,28350,27800,28700,27000,283578,7989213150,0,0.0,N,2,800,
2024-08-28,26900,28400,28550,26650,254923,6969860650,0,0.0,N,5,-1450,
2024-08-29,27400,26500,27550,26200,134135,3637866550,0,0.0,N,2,500,
2024-08-30,27000,27350,27850,26600,145232,3931364900,0,0.0,N,5,-400,
2024-09-02,26050,27150,27200,25550,187184,4864201200,0,0.0,N,5,-950,
2024-09-03,25600,26050,26550,25350,164986,4247988200,0,0.0,N,5,-450,
2024-09-04,24250,24000,24600,23500,261108,6313402150,0,0.0,N,5,-1350,
2024-09-05,23700,24300,24750,23500,114341,2743994750,0,0.0,N,5,-550,
2024-09-06,23050,23600,23950,22900,120794,2804361250,0,0.0,N,5,-650,
2024-09-09,23100,22300,23250,22300,88476,2018077150,0,0.0,N,2,50,
2024-09-10,23300,23100,23450,22950,70400,1633832050,0,0.0,N,2,200,
2024-09-11,26500,23700,26850,23350,1300404,33185001050,0,0.0,N,2,3200,
2024-09-12,25700,28050,28500,25700,748065,20002645150,0,0.0,N,5,-800,
2024-09-13,26450,25700,26850,25450,392494,10271303050,0,0.0,N,2,750,
2024-09-19,26750,27100,28150,26600,413828,11274583800,0,0.0,N,2,300,
2024-09-20,26200,26400,26650,26100,187748,4948427150,0,0.0,N,5,-550,
2024-09-23,25900,26100,26300,25600,125940,3267793150,0,0.0,N,5,-300,
2024-09-24,27050,26150,27300,26050,290578,7807878100,0,0.0,N,2,1150,
2024-09-25,25950,26800,26850,25850,166713,4407175000,0,0.0,N,5,-1100,
2024-09-26,26500,26050,26550,25700,112977,2957482750,0,0.0,N,2,550,
2024-09-27,26350,26950,27300,26050,163486,4356651000,0,0.0,N,5,-150,
2024-09-30,25250,26050,26200,25250,128409,3281863100,0,0.0,N,5,-1100,
2024-10-02,24400,24950,24950,24150,122257,2989053400,0,0.0,N,5,-850,
2024-10-04,24500,24400,24750,24150,52557,1283670300,0,0.0,N,2,100,
2024-10-07,24900,24750,24950,24250,67727,1672885450,0,0.0,N,2,400,
2024-10-08,24500,24850,24950,24350,64572,1589140300,0,0.0,N,5,-400,
2024-10-10,24600,25150,25200,24050,69335,1699424500,0,0.0,N,2,100,
2024-10-11,23400,24100,24250,23350,181130,4274324650,0,0.0,N,5,-1200,
2024-10-14,23650,23200,23750,23150,71436,1675669950,0,0.0,N,2,250,
2024-10-15,23950,23800,23950,23150,90719,2141260100,0,0.0,N,2,300,
2024-10-16,23350,23700,23750,23100,83075,1937094200,0,0.0,N,5,-600,
2024-10-17,23550,23250,23650,23150,58391,1367082850,0,0.0,N,2,200,
2024-10-18,22600,23550,23550,22600,91182,2083051000,0,0.0,N,5,-950,
2024-10-21,22500,22500,23200,22400,50764,1154518700,0,0.0,N,5,-100,
2024-10-22,21900,22500,22600,21350,112084,2441615950,0,0.0,N,5,-600,
2024-10-23,22100,22150,22250,21450,65016,1424159950,0,0.0,N,2,200,
2024-10-24,23050,21750,23100,21550,76145,1699984750,0,0.0,N,2,950,
2024-10-25,22450,23050,23150,22300,43644,983296250,0,0.0,N,5,-600,
2024-10-28,22850,22450,23200,22400,54973,1257445100,0,0.0,N,2,400,
2024-10-29,22850,23200,23250,22600,53909,1237114750,0,0.0,N,3,0,
2024-10-30,22550,22650,22800,22300,40603,915083350,0,0.0,N,5,-300,
2024-10-31,23100,22350,24450,22250,128326,2987346250,0,0.0,N,2,550,
2024-11-01,22900,22800,23200,22650,50589,1160702550,0,0.0,N,5,-200,
2024-11-04,24050,23350,24150,23350,170029,4050002150,0,0.0,N,2,1150,
2024-11-05,23750,24250,24250,23000,89488,2121833600,0,0.0,N,5,-300,
2024-11-06,21500,24100,24300,21350,332480,7558995650,0,0.0,N,5,-2250,
2024-11-07,21150,21500,21500,20150,124186,2586709850,0,0.0,N,5,-350,
2024-11-08,20800,20950,21650,20700,64774,1371152450,0,0.0,N,5,-350,
2024-11-11,20000,20800,20850,19940,99525,1999354760,0,0.0,N,5,-800,
2024-11-12,20700,20000,20750,19520,116530,2351378160,0,0.0,N,2,700,
2024-11-13,19850,20100,20600,19850,76565,1536636660,0,0.0,N,5,-850,
2024-11-14,19610,19690,20150,19600,45811,909303180,0,0.0,N,5,-240,
2024-11-15,18980,20050,20500,18850,108567,2085346940,0,0.0,N,5,-630,
2024-11-18,19280,18900,20000,18900,46816,903209440,0,0.0,N,2,300,
2024-11-19,19430,19220,19650,19140,45563,886253980,0,0.0,N,2,150,
2024-11-20,19180,19380,19560,19180,21677,417847100,0,0.0,N,5,-250,
2024-11-21,19000,19180,19250,18940,40084,763927870,0,0.0,N,5,-180,
2024-11-22,19210,19010,19480,19000,33158,638729440,0,0.0,N,2,210,
2024-11-25,19900,19210,20350,19100,66698,1323005770,0,0.0,N,2,690,
2024-11-26,20750,20200,20800,19980,75270,1539811430,0,0.0,N,2,850,
2024-11-27,19870,20650,20650,19840,53572,1073208780,0,0.0,N,5,-880,
2024-11-28,20050,19880,20400,19880,22794,459191820,0,0.0,N,2,180,
2024-11-29,19100,20000,20100,19090,33964,660923110,0,0.0,N,5,-950,
2024-12-02,19130,19210,19680,19000,41595,799514780,0,0.0,N,2,30,
2024-12-03,19990,19210,20350,19210,42698,848579660,0,0.0,N,2,860,
2024-12-04,20950,19300,21200,19140,139174,2834536130,0,0.0,N,2,960,
2024-12-05,19420,20600,20900,19400,93486,1860674800,0,0.0,N,5,-1530,
2024-12-06,20100,19250,20200,18770,84863,1658937230,0,0.0,N,2,680,
2024-12-09,18740,19660,19660,18590,112519,2134911440,0,0.0,N,5,-1360,
2024-12-10,20350,19460,20700,19150,109195,2188937330,0,0.0,N,2,1610,
2024-12-11,20950,20300,21250,20050,65834,1373374900,0,0.0,N,2,600,
2024-12-12,21000,21550,21600,20600,75876,1593310350,0,0.0,N,2,50,
2024-12-13,21500,21000,21700,20650,58018,1245319750,0,0.0,N,2,500,
2024-12-16,22200,22900,23400,22000,175050,3965046400,0,0.0,N,2,700,
2024-12-17,22050,22200,22350,21500,64795,1427385450,0,0.0,N,5,-150,
2024-12-18,21400,22500,22550,21100,53779,1155912100,0,0.0,N,5,-650,
2024-12-19,21150,20600,21350,20450,34550,723985650,0,0.0,N,5,-250,
